YYMMDD Astart Astop Rstart Rstop
150506 0645 0717 1729 1801
150507 0648 0720 1808 1838
150508 0636 0703 1651 1734
150511 0638 0710 1610 1645
150512 0636 0706 1629 1702
150513 0836 0913 1836 1945
150518 0637 0708 1744 1814
150519 0636 0710 1721 1810
150520 0637 0703 1741 1811
150521 0641 0706 1641 1720
150522 0645 0708 1624 1719
150526 0648 0724 1902 1925
150527 0642 0713 1804 1829
150528 0634 0704 1748 1824
150601 0858 0941 1808 NA
150603 0914 0941 1807 1836
150605 0650 0716 1651 1741
150608 0656 0734 NA NA
150609 0854 0935 1828 1900
150610 0909 0936 NA NA
150611 0647 0716 1708 1800
150612 0649 0713 1639 1714
150615 0655 0729 1728 1757
150616 0855 0933 1609 NA
150617 0906 0939 1823 1853
150618 0856 0939 1806 1859
150619 0700 0724 1647 1730
150622 0644 0721 1609 1655
150623 0640 0712 1654 1730
150625 0914 0952 1744 NA
150626 0653 0719 1643 1716
150629 0644 0709 1716 1737
150629 0808 0858 1644 1717
150701 0923 1002 1740 1821
150702 0650 0718 1936 1956
150703 0706 0731 NA NA
150706 0651 0714 1817 1840
150707 0652 0714 1740 1808
150707 0806 0829 1757 1823
150709 0659 0726 1747 1809
150713 0705 0724 1614 1645
150714 0709 0731 1655 1723
150715 0858 0922 1906 1932
150716 0655 0714 1714 1740
150717 0733 0752 NA NA
150727 0727 0747 1538 1558
150728 0930 0951 1731 1755
150729 0741 0759 1618 1643
150731 0917 0938 1638 1705
150803 0815 0843 1803 1838
150804 0737 0801 1908 1938
150805 0818 0844 1750 1819
150807 0753 0818 1811 1837
150810 0830 0858 1754 1824
150812 0849 0912 1817 NA
150813 0854 0917 1740 1809
150814 0812 0832 1234 1259
150817 0717 0738 1554 1621
150818 0655 0714 1604 1639
150819 0718 0738 1615 1642
150820 0715 0734 1609 1639
150821 0725 0744 1609 1640
150831 0722 0814 1303 1326
150902 0712 0801 NA NA
150903 0640 0711 1551 1635
150907 0622 0644 1600 1638
150908 0621 0643 1638 1719
150910 0643 0718 NA NA
150911 0616 0636 1627 1708
150914 0625 0651 1633 1718
150915 0625 0645 1755 1823
150916 0920 0956 NA NA
150918 0910 0936 1636 1721
150921 0622 0644 1556 1628
150922 0633 0701 1715 1758
150923 0921 1000 1707 1740
150924 0857 0945 1414 1435
150925 0719 0752 1606 NA
150928 0923 0953 2124 2143
151020 0643 0722 1837 1910
151021 0708 0752 1650 1726
151022 0626 0652 1613 1649
151023 0615 0636 NA NA
151026 0631 0702 1711 1754
151028 0636 0708 1741 1814
151029 0919 0951 1605 1649
151116 0639 0720 1640 1717
151117 0936 1022 1628 1719
151118 0637 0709 1830 1901
151120 1001 1031 1834 1905
151124 0649 0725 1636 1723
151125 0640 0920 1804 1831
151127 0639 0710 1623 1704
151130 0630 0704 1612 1646
151201 0628 0700 1625 1700
151202 0627 0700 NA NA
151203 0945 1024 1833 1902
151204 0927 0952 1937 2007
151207 0931 1010 1755 1823
151208 0739 0825 1636 1717
151209 0659 0738 NA NA
151214 NA NA 1612 1646
151215 0620 0658 1634 1709
151218 0642 0708 1712 1745
151221 0719 0749 1636 1700
151222 0707 0727 1802 1822
160104 0637 0714 1649 1720
160106 0910 0957 1841 1912
160108 0645 0715 1641 1712
160111 0854 0949 1830 1903
160112 0629 0702 1634 1706
160113 0910 0946 1919 1957
160115 0642 0739 1630 1710
160118 0640 0721 1633 1707
160119 0626 0648 1737 1815
160120 0915 0956 1551 1617
160126 0643 0723 1628 1729
160127 0649 0734 1607 1637
160129 0855 0917 1719 1752
160201 0631 0711 1644 1718
160202 0705 0849 1955 2002
160203 0929 0952 1750 1823
160205 0710 0745 NA NA
160210 0918 0940 1838 1914
160211 0758 0822 NA NA
160215 NA NA 1827 1855
160216 0645 0722 1615 NA
160217 0629 0655 1641 1724
160219 0856 0929 1742 1819
160222 0858 0942 1858 1932
160223 0641 0721 1656 1735
160224 0641 0708 1646 1713
160226 0858 0936 1857 1927
160301 0846 0940 NA NA
160302 0645 0729 NA NA
160304 0900 0944 1735 1809
160307 0857 0946 1832 NA
160308 0854 0948 1834 1904
160309 0634 0704 1844 1904
160311 0645 0711 1727 1754
160314 0859 0934 1925 1945
160315 0858 0940 1906 1929
160316 0857 0925 1759 1825
160318 0640 0707 1940 2002
160321 0900 0943 1907 1942
160322 0856 0945 1818 1841
160324 0856 0929 1841 NA
160404 0908 0929 1825 1852
160405 0915 0947 1854 1919
160406 0853 0932 1707 1730
160408 0929 0948 NA NA
160411 0857 0943 1811 1846
160412 0709 0745 1719 1832
160413 0856 0933 1903 1929
160415 0854 0926 1845 1918
160418 0716 0803 1653 1728
160419 0858 0937 1643 1724
160422 0701 0729 1716 1755
160429 0902 0924 1729 1818
160502 0858 0923 1813 1849
160503 0858 0939 1842 1911
160504 0642 0703 1937 NA
160509 0904 0944 1838 1911
150510 0704 0740 1725 1803
160511 0858 0930 1854 NA
160513 0856 0922 2016 2038
160518 0858 0929 2015 2037
160520 0917 0950 1939 2003
160527 0856 0942 1918 1949
160530 0958 1036 1956 2038
160531 0900 0938 NA NA
160601 0710 0852 1717 1925
160603 0855 0939 1615 1715
160606 0904 0935 1905 1925
160607 0722 0807 1603 NA
160609 0709 0742 NA NA
160613 0859 0937 1823 1855
160614 NA NA 1850 1916
160615 0906 0941 1830 1857
160617 0642 0707 1622 NA
160620 0642 0724 1618 1715
160621 0611 0632 1746 1824
160622 0857 0923 1808 1858
160701 0658 0727 1538 1625
160711 0705 0729 1620 1648
160712 0649 0709 1621 1651
160713 0701 0724 1741 1836
160714 0651 0715 1755 1817
160718 0715 0740 1814 1840
160719 0827 0900 NA NA
